# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.hits,1760626560655000000,1760626620658000000,0
FilePageCacheLockFree.totalPagesAllocated,1760626560655000000,1760626620658000000,0
StreamlinedBlobStorage.recordsRelocated,1760626560655000000,1760626620658000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1760626560655000000,1760626620658000000,0
FilePageCache.maxRegisteredFiles,1760626560655000000,1760626620658000000,531
FilePageCache.maxCacheSizeInBytes,1760626560655000000,1760626620658000000,199245824
StorageLockContext.competingThreads.max,1760626560655000000,1760626620658000000,0
FilePageCache.totalPageDisposalsUs,1760626560655000000,1760626620658000000,0
DirectByteBufferAllocator.misses,1760626560655000000,1760626620658000000,0
MappedFileStorage.totalPagesMapped,1760626560655000000,1760626620658000000,6
FilePageCache.uncachedFileAccess,1760626560655000000,1760626620658000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1760626560655000000,1760626620658000000,0
FilePageCacheLockFree.totalBytesRequested,1760626560655000000,1760626620658000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1760626560655000000,1760626620658000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1760626560655000000,1760626620658000000,0
FilePageCacheLockFree.totalPagesWritten,1760626560655000000,1760626620658000000,0
